SEGM_DATE,CLIENT_ID,AVG_MG,AVG_MG_1,AVG_MG_2,MIN_MG,MIN_MG_1,MIN_MG_2,MAX_MG,MAX_MG_1,MAX_MG_2,COUNT_TR,COUNT_TR_1,COUNT_TR_2,SUM_TR_TOTAL,SUM_TR_TOTAL_1,SUM_TR_TOTAL_2,SUM_TR,SUM_TR_1,SUM_TR_2,RECENTY,RECENTY_1,RECENTY_2,AVG_SKU,AVG_SKU_1,AVG_SKU_2,AVG_COUNT_TR,AVG_COUNT_TR_1,AVG_COUNT_TR_2,MIN_COUNT_TR,MIN_COUNT_TR_1,MIN_COUNT_TR_2,MAX_COUNT_TR,MAX_COUNT_TR_1,MAX_COUNT_TR_2,AVG_SUM_TR_TOTAL,AVG_SUM_TR_TOTAL_1,AVG_SUM_TR_TOTAL_2,AVG_SUM_TR,AVG_SUM_TR_1,AVG_SUM_TR_2,AVG_LATENCY,AVG_LATENCY_1,AVG_LATENCY_2,MIN_LATENCY,MIN_LATENCY_1,MIN_LATENCY_2,MAX_LATENCY,MAX_LATENCY_1,MAX_LATENCY_2,NP_AMOUNT,NP_AMOUNT_1,NP_AMOUNT_2,NP_SUM,NP_SUM_1,NP_SUM_2,PR_AMOUNT,PR_AMOUNT_1,PR_AMOUNT_2,PR_SUM,PR_SUM_1,PR_SUM_2,AL_AMOUNT,AL_AMOUNT_1,AL_AMOUNT_2,AL_SUM,AL_SUM_1,AL_SUM_2,OTHER_SUM,OTHER_SUM_1,OTHER_SUM_2,FAVORITE_STORE,FAVORITE_STORE_1,FAVORITE_STORE_2,SUM_MG,SUM_MG_1,SUM_MG_2,D_TRANS,D_TRANS_1,D_TRANS_2,AVG_BILL,AVG_BILL_1,AVG_BILL_2,SEGMENT_ID,SEGMENT_ID_1,SEGMENT_ID_2,DISTANCE,DISTANCE_1,DISTANCE_2,SUM_TR_TOTAL_BASE_DIST,SUM_TR_TOTAL_BASE_DIST_1,SUM_TR_TOTAL_BASE_DIST_2,SUM_TR_TOTAL_ETALON_DIST,SUM_TR_TOTAL_ETALON_DIST_1,SUM_TR_TOTAL_ETALON_DIST_2,SUM_TR_TOTAL_DIST_TYPE,SUM_TR_TOTAL_DIST_TYPE_1,SUM_TR_TOTAL_DIST_TYPE_2,AVG_BILL_BASE_DIST,AVG_BILL_BASE_DIST_1,AVG_BILL_BASE_DIST_2,AVG_BILL_ETALON_DIST,AVG_BILL_ETALON_DIST_1,AVG_BILL_ETALON_DIST_2,AVG_BILL_DIST_TYPE,AVG_BILL_DIST_TYPE_1,AVG_BILL_DIST_TYPE_2,AVG_COUNT_TR_BASE_DIST,AVG_COUNT_TR_BASE_DIST_1,AVG_COUNT_TR_BASE_DIST_2,AVG_COUNT_TR_ETALON_DIST,AVG_COUNT_TR_ETALON_DIST_1,AVG_COUNT_TR_ETALON_DIST_2,AVG_COUNT_TR_DIST_TYPE,AVG_COUNT_TR_DIST_TYPE_1,AVG_COUNT_TR_DIST_TYPE_2,D_TRANS_BASE_DIST,D_TRANS_BASE_DIST_1,D_TRANS_BASE_DIST_2,D_TRANS_ETALON_DIST,D_TRANS_ETALON_DIST_1,D_TRANS_ETALON_DIST_2,D_TRANS_DIST_TYPE,D_TRANS_DIST_TYPE_1,D_TRANS_DIST_TYPE_2,AVG_MG_BASE_DIST,AVG_MG_BASE_DIST_1,AVG_MG_BASE_DIST_2,AVG_MG_ETALON_DIST,AVG_MG_ETALON_DIST_1,AVG_MG_ETALON_DIST_2,AVG_MG_DIST_TYPE,AVG_MG_DIST_TYPE_1,AVG_MG_DIST_TYPE_2,SUM_MG_BASE_DIST,SUM_MG_BASE_DIST_1,SUM_MG_BASE_DIST_2,SUM_MG_ETALON_DIST,SUM_MG_ETALON_DIST_1,SUM_MG_ETALON_DIST_2,SUM_MG_DIST_TYPE,SUM_MG_DIST_TYPE_1,SUM_MG_DIST_TYPE_2,GROUP_CHANGE_RESULT,GROUP_CHANGE_RESULT_1,GROUP_CHANGE_RESULT_2,PROFIT_GROUP_ID,PROFIT_GROUP_ID_1,PROFIT_GROUP_ID_2,CHANGE_PROFIT_GROUP_ID,CHANGE_PROFIT_GROUP_ID_1,CHANGE_PROFIT_GROUP_ID_2,CHANGE_SEGMENT_ID,CHANGE_SEGMENT_ID_1,CHANGE_SEGMENT_ID_2,PVAL_GROUP_CHANGE0,PVAL_GROUP_CHANGE0_1,PVAL_GROUP_CHANGE0_2,PVAL_GROUP_CHANGE1,PVAL_GROUP_CHANGE1_1,PVAL_GROUP_CHANGE1_2,PVAL_GROUP_CHANGE_1,PVAL_GROUP_CHANGE_1_1,PVAL_GROUP_CHANGE_1_2,MODIFY_DATE,MODIFY_DATE_1,MODIFY_DATE_2,_SEGMENT_,_SEGMENT__1,_SEGMENT__2,_SEGMENT_LABEL_,_SEGMENT_LABEL__1,_SEGMENT_LABEL__2,EM_SEGMENT,EM_SEGMENT_1,EM_SEGMENT_2
01APR2012:00:00:00,1-ET-1502,6.25,,,1,,,19,,,4,,,13764.0,,,14673.23,,,10,,,10.5,,,1.33,,,0,,,3,,,4588.0,,,4891.08,,,11.0,,,3.0,,,16.0,,,4,,,5356.9,,,18,,,8407.1,,,0,,,0,,,0,,,10,,,22,,,0.75,,,3441.0,,,9,,,0.0818862448,,,-3877.549228,,,347.0,,,Pre_Etalon,,,-1447.046638,,,-616.5,,,Etalon,,,0.4515119931,,,1.0,,,Pre_Base,,,-0.012783258,,,-0.083333333,,,Etalon,,,-0.302016436,,,1.75,,,Pre_Etalon,,,-2.949087994,,,3,,,Pre_Etalon,,,0.0,,,4.0,,,4.0,,,9.0,,,0.6163522013,,,0.0624438455,,,0.3212039533,,,18APR2014:18:11:24.215456,,,4,,,Cluster9,,,9,,
01APR2013:00:00:00,1-ET-1502,2.5,6.25,,1,1.0,,3,19.0,,4,4.0,,9362.0,13764.0,,9878.08,14673.23,,1,10.0,,3.0,10.5,,1.33,1.33,,0,0.0,,3,3.0,,3120.67,4588.0,,3292.69,4891.08,,17.67,11.0,,7.0,3.0,,33.0,16.0,,2,4.0,,5113.07,5356.9,,5,18.0,,4248.93,8407.1,,0,0.0,,0,0.0,,0,0.0,,18,10.0,,7,22.0,,0.75,0.75,,2340.5,3441.0,,11,9.0,,0.2404602237,0.0818862448,,-6619.278266,-3877.549228,,-4984.0,347.0,,Etalon,Pre_Etalon,,-604.5625513,-1447.046638,,291.5,-616.5,,Pre_Etalon,Etalon,,-0.752182512,0.4515119931,,-0.66,1.0,,Etalon,Pre_Base,,0.2395526828,-0.012783258,,0.25,-0.083333333,,Pre_Base,Etalon,,1.6633119416,-0.302016436,,3.83,1.75,,Pre_Base,Pre_Etalon,,-1.020469697,-2.949087994,,2,3.0,,Pre_Etalon,Pre_Etalon,,-1.0,0.0,,5.0,4.0,,5.0,4.0,,11.0,9.0,,0.4192263936,0.6163522013,,,0.0624438455,,0.5807736064,0.3212039533,,21APR2014:17:03:46.163882,18APR2014:18:11:24.215456,,2,4.0,,Cluster11,Cluster9,,11,9.0,
01AUG2012:00:00:00,1-ET-1502,7.0,2.5,6.25,2,1.0,1.0,30,3.0,19.0,9,4.0,4.0,33490.5,9362.0,13764.0,35676.88,9878.08,14673.23,0,1.0,10.0,12.22,3.0,10.5,3.0,1.33,1.33,1,0.0,0.0,6,3.0,3.0,11163.5,3120.67,4588.0,11892.29,3292.69,4891.08,9.38,17.67,11.0,0.0,7.0,3.0,30.0,33.0,16.0,6,2.0,4.0,5912.35,5113.07,5356.9,35,5.0,18.0,27578.15,4248.93,8407.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10,18.0,10.0,41,7.0,22.0,0.5555555556,0.75,0.75,3721.1666667,2340.5,3441.0,7,11.0,9.0,0.1756421229,0.2404602237,0.0818862448,-12643.37917,-6619.278266,-3877.549228,-4107.5,-4984.0,347.0,Etalon,Etalon,Pre_Etalon,-593.0028793,-604.5625513,-1447.046638,483.0,291.5,-616.5,Pre_Etalon,Pre_Etalon,Etalon,-0.394509332,-0.752182512,0.4515119931,1.0,-0.66,1.0,Pre_Etalon,Etalon,Pre_Base,7.44086e-05,0.2395526828,-0.012783258,-0.055555556,0.25,-0.083333333,Pre_Base,Pre_Base,Etalon,2.3062384083,1.6633119416,-0.302016436,4.5,3.83,1.75,Pre_Base,Pre_Base,Pre_Etalon,-8.848456392,-1.020469697,-2.949087994,-1,2.0,3.0,Etalon,Pre_Etalon,Pre_Etalon,0.0,-1.0,0.0,3.0,5.0,4.0,3.0,5.0,4.0,7.0,11.0,9.0,0.7743914911,0.4192263936,0.6163522013,0.0293516056,,0.0624438455,0.1962569033,0.5807736064,0.3212039533,19APR2014:17:51:07.138602,21APR2014:17:03:46.163882,18APR2014:18:11:24.215456,8,2.0,4.0,Cluster7,Cluster11,Cluster9,7,11.0,9.0
01AUG2013:00:00:00,1-ET-1502,3.5,7.0,2.5,1,2.0,1.0,6,30.0,3.0,2,9.0,4.0,2667.0,33490.5,9362.0,3179.56,35676.88,9878.08,20,0.0,1.0,4.0,12.22,3.0,0.67,3.0,1.33,0,1.0,0.0,1,6.0,3.0,889.0,11163.5,3120.67,1059.85,11892.29,3292.69,37.0,9.38,17.67,37.0,0.0,7.0,37.0,30.0,33.0,2,6.0,2.0,1892.0,5912.35,5113.07,4,35.0,5.0,775.0,27578.15,4248.93,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,18,10.0,18.0,6,41.0,7.0,0.5,0.5555555556,0.75,1333.5,3721.1666667,2340.5,10,7.0,11.0,0.169157328,0.1756421229,0.2404602237,4335.1188139,-12643.37917,-6619.278266,7862.0,-4107.5,-4984.0,Pre_Base,Etalon,Etalon,-50.7331062,-593.0028793,-604.5625513,497.75,483.0,291.5,Pre_Etalon,Pre_Etalon,Pre_Etalon,1.4734359895,-0.394509332,-0.752182512,2.66,1.0,-0.66,Pre_Base,Pre_Etalon,Etalon,-0.098865956,7.44086e-05,0.2395526828,-0.25,-0.055555556,0.25,Etalon,Pre_Base,Pre_Base,0.4798348469,2.3062384083,1.6633119416,1.94,4.5,3.83,Pre_Base,Pre_Base,Pre_Base,7.4902226454,-8.848456392,-1.020469697,14,-1.0,2.0,Pre_Base,Etalon,Pre_Etalon,0.0,0.0,-1.0,4.0,3.0,5.0,4.0,3.0,5.0,10.0,7.0,11.0,0.9152115514,0.7743914911,0.4192263936,0.0420584285,0.0293516056,,0.0427300201,0.1962569033,0.5807736064,24APR2014:12:33:27.574429,19APR2014:17:51:07.138602,21APR2014:17:03:46.163882,7,8.0,2.0,Cluster10,Cluster7,Cluster11,10,7.0,11.0
01DEC2012:00:00:00,1-ET-1502,3.14,3.5,7.0,1,1.0,2.0,6,6.0,30.0,7,2.0,9.0,13560.5,2667.0,33490.5,14349.06,3179.56,35676.88,17,20.0,0.0,4.14,4.0,12.22,2.33,0.67,3.0,0,0.0,1.0,5,1.0,6.0,4520.17,889.0,11163.5,4783.02,1059.85,11892.29,5.5,37.0,9.38,1.0,37.0,0.0,10.0,37.0,30.0,3,2.0,6.0,4361.33,1892.0,5912.35,15,4.0,35.0,9199.17,775.0,27578.15,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,25,18.0,10.0,18,6.0,41.0,0.7142857143,0.5,0.5555555556,1937.2142857,1333.5,3721.1666667,9,10.0,7.0,0.1687727645,0.169157328,0.1756421229,-2909.318652,4335.1188139,-12643.37917,1600.5,7862.0,-4107.5,Pre_Etalon,Pre_Base,Etalon,255.91105858,-50.7331062,-593.0028793,1135.2857143,497.75,483.0,Pre_Base,Pre_Etalon,Pre_Etalon,-0.589253568,1.4734359895,-0.394509332,0.0,2.66,1.0,Etalon,Pre_Base,Pre_Etalon,0.0208534481,-0.098865956,7.44086e-05,-0.047619048,-0.25,-0.055555556,Pre_Base,Etalon,Pre_Base,2.7913207873,0.4798348469,2.3062384083,4.86,1.94,4.5,Pre_Base,Pre_Base,Pre_Base,0.8884668508,7.4902226454,-8.848456392,7,14.0,-1.0,Pre_Base,Pre_Base,Etalon,0.0,0.0,0.0,4.0,4.0,3.0,4.0,4.0,3.0,9.0,10.0,7.0,0.6163522013,0.9152115514,0.7743914911,0.0624438455,0.0420584285,0.0293516056,0.3212039533,0.0427300201,0.1962569033,20APR2014:11:07:29.240365,24APR2014:12:33:27.574429,19APR2014:17:51:07.138602,4,7.0,8.0,Cluster9,Cluster10,Cluster7,9,10.0,7.0
01FEB2013:00:00:00,1-ET-1502,2.0,3.14,3.5,1,1.0,1.0,3,6.0,6.0,2,7.0,2.0,4482.0,13560.5,2667.0,4916.5,14349.06,3179.56,78,17.0,20.0,2.5,4.14,4.0,0.67,2.33,0.67,0,0.0,0.0,2,5.0,1.0,1494.0,4520.17,889.0,1638.83,4783.02,1059.85,10.0,5.5,37.0,10.0,1.0,37.0,10.0,10.0,37.0,2,3.0,2.0,2995.0,4361.33,1892.0,2,15.0,4.0,1487.0,9199.17,775.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,25,25.0,18.0,4,18.0,6.0,1.0,0.7142857143,0.5,2241.0,1937.2142857,1333.5,11,9.0,10.0,0.1038360876,0.1687727645,0.169157328,-1629.598097,-2909.318652,4335.1188139,128.5,1600.5,7862.0,Pre_Etalon,Pre_Etalon,Pre_Base,-415.0858021,255.91105858,-50.7331062,506.25,1135.2857143,497.75,Pre_Etalon,Pre_Base,Pre_Etalon,-0.102561429,-0.589253568,1.4734359895,0.0,0.0,2.66,Etalon,Etalon,Pre_Base,-0.009893881,0.0208534481,-0.098865956,0.0,-0.047619048,-0.25,Etalon,Pre_Base,Etalon,2.1820282299,2.7913207873,0.4798348469,4.5,4.86,1.94,Pre_Base,Pre_Base,Pre_Base,1.9451821979,0.8884668508,7.4902226454,5,7.0,14.0,Pre_Base,Pre_Base,Pre_Base,0.0,0.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,11.0,9.0,10.0,0.7869500373,0.6163522013,0.9152115514,,0.0624438455,0.0420584285,0.2130499627,0.3212039533,0.0427300201,20APR2014:12:42:49.175569,20APR2014:11:07:29.240365,24APR2014:12:33:27.574429,2,4.0,7.0,Cluster11,Cluster9,Cluster10,11,9.0,10.0
01JAN2013:00:00:00,1-ET-1502,3.14,2.0,3.14,1,1.0,1.0,6,3.0,6.0,7,2.0,7.0,13560.5,4482.0,13560.5,14349.06,4916.5,14349.06,48,78.0,17.0,4.14,2.5,4.14,2.33,0.67,2.33,0,0.0,0.0,5,2.0,5.0,4520.17,1494.0,4520.17,4783.02,1638.83,4783.02,5.5,10.0,5.5,1.0,10.0,1.0,10.0,10.0,10.0,3,2.0,3.0,4361.33,2995.0,4361.33,15,2.0,15.0,9199.17,1487.0,9199.17,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,25,25.0,25.0,18,4.0,18.0,0.7142857143,1.0,0.7142857143,1937.2142857,2241.0,1937.2142857,9,11.0,9.0,0.1687727645,0.1038360876,0.1687727645,-3442.243689,-1629.598097,-2909.318652,974.75,128.5,1600.5,Pre_Etalon,Pre_Etalon,Pre_Etalon,133.74071332,-415.0858021,255.91105858,979.76904762,506.25,1135.2857143,Pre_Base,Pre_Etalon,Pre_Base,-0.583210147,-0.102561429,-0.589253568,0.0,0.0,0.0,Etalon,Etalon,Etalon,0.022335466,-0.009893881,0.0208534481,-0.047619048,0.0,-0.047619048,Pre_Base,Etalon,Pre_Base,2.8269311041,2.1820282299,2.7913207873,4.86,4.5,4.86,Pre_Base,Pre_Base,Pre_Base,0.8803689824,1.9451821979,0.8884668508,7,5.0,7.0,Pre_Base,Pre_Base,Pre_Base,1.0,0.0,0.0,4.0,5.0,4.0,3.0,5.0,4.0,7.0,11.0,9.0,0.3452571064,0.7869500373,0.6163522013,0.6406898754,,0.0624438455,0.0140530182,0.2130499627,0.3212039533,20APR2014:11:47:53.545764,20APR2014:12:42:49.175569,20APR2014:11:07:29.240365,4,2.0,4.0,Cluster9,Cluster11,Cluster9,9,11.0,9.0
01JAN2014:00:00:00,1-ET-1502,11.25,3.14,2.0,1,1.0,1.0,22,6.0,3.0,4,7.0,2.0,19279.0,13560.5,4482.0,19815.09,14349.06,4916.5,34,48.0,78.0,17.0,4.14,2.5,1.33,2.33,0.67,0,0.0,0.0,2,5.0,2.0,6426.33,4520.17,1494.0,6605.03,4783.02,1638.83,12.33,5.5,10.0,5.0,1.0,10.0,19.0,10.0,10.0,5,3.0,2.0,7479.98,4361.33,2995.0,25,15.0,2.0,11799.02,9199.17,1487.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,18,25.0,25.0,30,18.0,4.0,0.5,0.7142857143,1.0,4819.75,1937.2142857,2241.0,7,9.0,11.0,0.1371599941,0.1687727645,0.1038360876,2773.8976726,-3442.243689,-1629.598097,11602.54,974.75,128.5,Pre_Base,Pre_Etalon,Pre_Etalon,-1446.203538,133.74071332,-415.0858021,-325.0208333,979.76904762,506.25,Etalon,Pre_Base,Pre_Etalon,1.1684103139,-0.583210147,-0.102561429,2.34,0.0,0.0,Pre_Base,Etalon,Etalon,0.0455701959,0.022335466,-0.009893881,-0.038461539,-0.047619048,0.0,Pre_Base,Pre_Base,Etalon,-1.983216368,2.8269311041,2.1820282299,0.08,4.86,4.5,Pre_Etalon,Pre_Base,Pre_Base,1.386603139,0.8803689824,1.9451821979,9,7.0,5.0,Pre_Base,Pre_Base,Pre_Base,1.0,1.0,0.0,3.0,4.0,5.0,4.0,3.0,5.0,9.0,7.0,11.0,0.3073117641,0.3452571064,0.7869500373,0.6913030573,0.6406898754,,0.0013851786,0.0140530182,0.2130499627,30MAY2014:13:13:54.515373,20APR2014:11:47:53.545764,20APR2014:12:42:49.175569,8,4.0,2.0,Cluster7,Cluster9,Cluster11,7,9.0,11.0
